label;29.12.2018;30.12.2018;31.12.2018;01.01.2019;02.01.2019;03.01.2019;04.01.2019;05.01.2019;06.01.2019;07.01.2019;08.01.2019;09.01.2019;10.01.2019;11.01.2019;12.01.2019;13.01.2019;14.01.2019;15.01.2019;16.01.2019;17.01.2019;18.01.2019;19.01.2019;20.01.2019;21.01.2019;22.01.2019;23.01.2019;24.01.2019;25.01.2019;26.01.2019;27.01.2019;28.01.2019;29.01.2019;КОЛ-ВО;СУММА
анкета обработка короткий проблема решение;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;1;4
анкета распечатать выдать кредит решение;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
аппарат управление закрытие работа закрыть;;;;;;;;;;;;;;;5;;;1;;;;;;;;;;;;;;;2;6
аппарат управление отделение закрытие доступ;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;1;5
банковский универсальный кредит договор обслуживание;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
верификатор бэк ПЦП доступ открытие;;;;;;;;;;;;;;6;;;2;3;18;4;;;;;;;;;;;;;5;33
верификатор бэк аппарат открытие доступ;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;1;2
вернуть ки возврат ожидание статус;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
вернуть статус корректировка возврат ошибка;;;;;;;;;;;;;;;;;6;;;9;;;;;;;;;;;;;2;15
вложение ошибка выходить досье кредитный;;;;;;;;;;;;;;;;;104;;;;;;;;;;;;;;;;1;104
вложение см ошибка документ кредитный;;;;;;;;;;;;;;;;;;10;1;;;;;;;;;;;;;;2;11
вложить документ досье кредитный ошибка;;;;;;;;;;;;;;;;;31;5;;;;;;;;;;;;;;;2;36
вложить удаваться документ скан кредитный;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;1
внедрение автоматизированным опера доп офис;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;6
возвращать пересохранить операции востребовать тест;;;;;;;;;;;;;;;;;;;;;;;;;;;;278;;;;;1;278
войти пароль логин вход доступ;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;1;10
войти программа передать АС ошибка;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;1;2
воронежской область центрально-чернозёмный отделение головной;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;1;8
вставить документ скан возможность программа;;;;;;;;;;;;;;;;;14;;;;;;;;;;;;;;;;1;14
вставить скан документ файл возможность;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;1;2
вход логин программа пароль доступ;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;1;6
вход ошибка фотоальбом досье кредитный;;;;;;;;;;;;;;;;;;;;2;4;;;;;;;;;;;;2;6
выбранного сохраниться перезагрузить документации влияние;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;316;1;316
выгрузка ошибка уйти ЕКП статус;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
выписка прописывать маэстро заполнять чтение;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;1;21
год срок кредит оформить программа;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;1;3
год срок кредит потребительский условие;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;2;3
графе отстутствовать архангельский юбилейный чтение;;;;;;;;;;;;;104;;;;;;;;;;;;;;;;;;;;1;104
дивизион домклик контроллер кутузовский тереть;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;;1;32
документ досье кредитный фотоальбом ошибка;;;;;;;;;;;;;;;;;;;;;15;;;10;23;9;;;;;;;4;57
документ досье программа ошибка кредитный;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;;;22;2;44
доступ закрытие закрыть офис увольнение;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;1;2
доступ закрытие увольнение аппарат закрыть;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3
доступ отделение мп_451_р увольнение унифицированной;;;;;;;;;;;;;51;16;;;9;;;;;;;;;;;;;;;;3;76
доступ отделение право офис пао;;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;1;18
