label;29.12.2018;30.12.2018;31.12.2018;01.01.2019;02.01.2019;03.01.2019;04.01.2019;05.01.2019;06.01.2019;07.01.2019;08.01.2019;09.01.2019;10.01.2019;11.01.2019;12.01.2019;13.01.2019;14.01.2019;15.01.2019;16.01.2019;17.01.2019;18.01.2019;19.01.2019;20.01.2019;21.01.2019;22.01.2019;23.01.2019;24.01.2019;25.01.2019;26.01.2019;27.01.2019;28.01.2019;29.01.2019;КОЛ-ВО;СУММА
отказ подать кредит статус ошибка;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;43;2;44
отказ предложение прийти кредит кредитный;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
отказ прийти кредит перевести статус;;;;;;;;;;;;;;;;;;27;25;;;;;;;;;;;;;;2;52
отказ проблема кредит кредитный ошибка;;;;;;;;;;;;;;;;;;;;;97;;;;;;;;;;;;1;97
отказ продукт выбрать кредит кредитный;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;;1;14
отказ решение кредит кредитный ошибка;;;;;;23;;;;;;;;;;;;;;;;;;;;;8;;;;;;2;31
отказ статус вернуть кредит ошибка;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;6;;;;2;11
отказ статус прийти кредит кредитный;;;;;;;;;;;;;;;;;;;;12;;;;12;27;;;;;;;;3;51
отказ требование продукт кредит кредитный;;;;;;;;;;;;;;;;;;;;;13;2;1;;;;;;;;;;3;16
открываться досье кредитный см проблема;;;11;;;1;1;;;;;;;;;;;;;;;;;7;1;;5;1;;;8;1;8;25
открываться досье фотоальбом кредитный помочь;;;;;;;;;;;;6;;;;2;17;2;1;1;1;2;;;;;;;;;;;8;32
открытие доступ кредитный ул аппарат;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;;;1;21
открытие доступ специалист ул кредитный;;;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;1;30
открытие доступ ул аппарат офис;;;;;;;;;;;;;40;;;;28;;;;;;;;;;;;;;;;2;68
открыть привязка кредитование роль сжк;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;6;15;3;29
отправить обработка ки возврат ошибка;13;;;;;;;;;;;;;;;;;19;2;;;;;8;;3;;;;;;;4;32
отправить обработка невозможно кредит послый;;;;;;;;;;;;;;;;;;;;12;2;;;;1;;;;;;;;3;15
отправить ошибка работа кредит статус;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;171;1;171
отправка администратор обработка ошибка выдавать;;;;;;;;;;;;;;;;;;;;12;3;;;;;;;;;;;;2;15
отправка выходить рассмотрение ошибка статус;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
отправка обработка ошибка выходить отправить;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;1;7
отправка ошибка выходить рассмотрение обработка;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;1;2
отправка перейти объект ошибка статус;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
отправка рассмотрение ошибка обработка выдавать;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;1
отправляться анкета обработка отправить ошибка;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;1;4
отправляться обработка работа рассмотрение ошибка;;;;;;;;;;;;;;;;;;18;;5;3;;;;;;;;;;;;3;26
ошибка #НОМЕР_ПАСПОРТА 1999г заводить технологический;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;1
ошибка аппарат влиять уч 600шт;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3
ошибка аппарат менять переподписывать логинписать;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
ошибка аппарат октябрь переназначать timeout`;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
ошибка аппарат яситниковый досрочный офисный;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
ошибка вывести помочь аппарат статус;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2
ошибка документ досье выходить кредитный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;1;21
ошибка коминтерн оренбургский д2 девушка;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;1;4
ошибка максимальной прямым рассчитываться независимо;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;1
ошибка маэстро Мир переназначать чтение;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;1;3
ошибка ободрение присвоиться каленовый девушка;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;1;5
ошибка обработка отправка статус отправить;;;;;;;;;;;;;;;;;;;;;;;;;21;18;;;;;;;2;39
ошибка обходного проблемной СБТ спасти;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;1;2
ошибка открытие кредитный статус доступ;;;;;;;;;;;;;255;;;;;;;;;;;;;;;;;;;;1;255
ошибка отправить обработка статус кредитный;;;;;;;;;;;;;;;;29;;;;;;;;;;;;;;;;;1;29
ошибка пересохранить операции волгоградский тест;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;1;6
ошибка распределенный контактный ект терять;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;1;3
ошибка смениться выяснить приём приостоновить;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;1;6
ошибка составление собираться чр кидать;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;1;3
ошибка сохраниться перезагрузить документации влияние;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;2
ошибка статус ввод ЕКП кредит;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;1;5
ошибка статус вернуть находиться работа;;;;;10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;11
ошибка статус вывести помочь сформировать;;;;;;;;;;;9;;;;1;;;;;;;;;;;;;;;;;;2;10
ошибка статус ки возврат вернуть;;;;;;;;;;;;;;32;;;;;;;;;;;;;;;;;;;1;32
ошибка статус кредит отказ кредитный;;;;;;;;;;;;;;;115;;;;;;;;;;;;;;;;;;1;115
ошибка статус находиться ЕКП транзакт;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
ошибка статус находиться цоппиик помочь;;;;;;;;;1;;;7;;;;;;;;;;;;;;;;;;;;;2;8
ошибка статус обработка отправить отказ;;;;;;;;;;;;;;;;;;;;;;;;;;;44;;;;;;1;44
ошибка статус уйти находиться ЕКП;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
ошибка статус цоппик цоппиик находиться;;;;;;;;9;;;;;12;;;;;;;;;;;;;;;;;;;;2;21
ошибка строитель белгородский тело первичного;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;1;3
ошибка формирование коммунистический ферсмана заблокироваться;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;1;2
ошибка ханты-мансийского округа прикрепить память;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;2
ошябкий ранний выпасть прежний пошло;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;1;5
пароль АС логин вход доступ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;1;13
пароль войти сбросить сброс ошибка;;;;;;;;;;;;;;;;;;;;1;5;2;;;;;;;;;;;3;8
пароль вход логин программа ошибка;1;;;;;;;;;;;;;;;;;16;;;;;;;;;;;;;;;1;16
пароль логин зайти программа АС;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;1;3
пароль логин программа АС доступ;;;;;;;;;;;;;;19;;;16;;;;;;;11;9;;;;;;;;4;55
пароль программа логин вход проблема;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;1;2
пароль сбросить сброс вход войти;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;1;2
паспорт недействительности признак отказ кредит;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
перевести ЕКП статус ошибка транзакт;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;1;12
перевести УКО поиск транзакт найти;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;1;9
перевести вернуть статус отказ ошибка;;;;;;;;;;;;;;;;;;;;;7;;;;;1;;;;;;;2;8
переводиться пермский АС сниматься timeout`;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
перечислить загасить маленький состояние офисный;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
подгружаться фото документ фотоальбом ошибка;;;;;;;;;;;;;;;;;16;;;1;;;;;;;;;;;;;2;17
подгрузить документ досье кредитный ошибка;;;;;;;;;;;;;;;;;46;;2;;1;;;;;;;;;;;;3;49
подгрузить удаваться документ досье кредитный;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;1;5
подтвердить опровергнуть мск мультипликатор стратегия;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
поле изменить щербинка октябрь предъявленного;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
получаться отправить досье документ кредитный;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;1
предложение доверительный кредит погашение отказ;;;;;;;;;;;;;;;;;;;;7;;;;9;;;;;;;;;2;16
предложение отказ кредит вернуть статус;;;;;;;;;;;;;;;;;;13;4;;;;;;;;;;;;;;2;17
предъявленного иной паспорт участник подтвердить;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;2;;;;;3;5
предыдущей подтягиваться ханты-мансийского формировать память;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;187;;1;187
привязва мурашкино свобода файл первичного;;;;;;;;;;;;;;;130;;;;;;;;;;;;;;;;;;1;130
привязка жилищный кредитование специалист сжк;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;1;11
привязка пилотного проект линия сделать;;;;;;;;;;;;;;;;;;;;;;;;12;1;;2;;;;;;3;15
привязка сжк жилищный кредитование роль;;;;;;;;;;;;;;;;;5;3;;;;;;;;;;;;;;;2;8
привязка соответствие открыть роль сжк;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;1;11
привязка требоваться среднерусский переназначать убрать;;;;;;;;;;;;;;;;;14;16;14;;9;;;;;;;;;;;;4;53
прикрепить документ выдавать досье ошибка;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;1
прикрепить документ файл невозможно ошибка;;;;;;;;;;;;;;;;;41;;;;;;;;;;;;;;;;1;41
принятие модуль решение обработка ошибка;;;;;;;;;;;;;;;;;;24;1;;;;;;;;;;;;;;2;25
присвоить сжк роль ОСБ жилищный;;;;;;;;;;;;;;1;;;;3;;;;;;;;;;;;;;;2;4
проблема АС срочно решить доступ;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;1;13
проблема кредит обработка решение ошибка;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;1;5
проблема маршрут обработка решение помочь;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;1;6
проблема помочь решить решение ошибка;;;;;;;;;;;;;;;;;;17;;;;;;;;;;;;;;;1;17
проблема решение кредит статус ошибка;;;;;;;;;;;106;;;;;;;;;;;;;;;;;;;;;;1;106
программа доступ документ кредитный ошибка;;;;;;;;;;;;;;;;;;;338;;;;;;;;;;;;;;1;338
программа пароль логин вход АС;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;1;7
программа проблема кредит статус ошибка;;;;;;;;;;;;;;;;;;;;;;;;200;;;;;;;;;1;200
продажа #НОМЕР_ПАСПОРТА 1999г ошибиться испарить;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;1;7
продажа закрытие увольнение закрыть пао;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
продажа маэстро Мир расширить чтение;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;1;4
продажа мурашкино свобода курский первичного;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;1;9
продажа ободрение присвоиться совесткий айназа;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;1
продажа пересохранить операции администрирование тест;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;1
продажа прямых отделение аппарат пао;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
продажа смениться выяснить приём приостоновить;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;1;4
продажа составление собираться увести кидать;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;1;6
продажа сохраниться перезагрузить документации влияние;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;4
продажа увеличение максимальной прямым терять;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;1;4
продажа формирование коммунистический 27а 2а;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;1;2
продукт карта выбрать давать кредитный;;;;;;;;;;;;;;;;;;;;16;6;;;5;2;;;;;;;;4;29
проект ГОСБ урпиик пилотного запуск;;;;;;;;;;;;;;;;;;;;;14;;;1;1;2;3;;;;;;5;21
проект аппарат создать автоматически доступ;;;;;;;;;;;;;;;;;;;;;;;;;;;161;;;;;;1;161
проект пилотного линия кредитование жилищный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;2;6
проект пилотного привязка ГОСБ линия;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;1;5
производственный необходимость аппарат открытие доступ;;;;;;;;;;;;;;;;;;9;1;;;;;;;;;;;;;;2;10
протокол увидеть досье кредитный ошибка;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;1;12
прямых продажа отделение управление поддержка;;;;;;;;;;;;;19;7;3;;3;4;5;6;;;;;;;;2;6;;1;;10;56
прямых управление продажа аппарат закрытие;;;;;;;;;;;;;;;;;;;;;;;;10;10;;;;;;;;2;20
прямых управление увольнение продажа закрытие;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;1;13
работа кредит кредитный доступ ошибка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1
работа отказ кредит кредитный ошибка;;;;;;;;;;;;;;;;;;;;;;;;;;195;;;;;;;1;195
работа отправить кредит статус ошибка;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
работа помочь статус кредит ошибка;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
работа транзакт ошибка кредит статус;70;;;;;;;;;;;;;;;;;;;;;;;;139;;92;;;;;;2;231
работать фотоальбом фабрика досье кредитный;;;;;;;;;;;;;;;;;15;1;2;1;;;;;;;;;;;;;4;19
равный недостаточный платёжеспособности максимальный рассчитать;2;;;;;;;;;;;;;;;;;11;4;2;6;5;;1;1;;1;;;;;;8;31
разблокировать кред войти дальнейший работа;;;;;;;;;;;;;;;;;;;;;;;;;179;;;;;;;;1;179
ранний выпасть дополнительно объединение пошло;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;2
рассмотрение отправка ошибка выдавать обработка;;;;;;;;;;;;;;;;;;23;;11;5;;;;;;;;;;;;3;39
рассмотрение статус ошибка отправка ЕКП;;;;;;;;;;;;;;;;;35;;;;;;;;;;;;;;;;1;35
рвсп ФЛ кредитный модель руководитель;;;;;;;;;;;;;11;11;1;;;;;;;;;;;;8;8;;;18;16;7;73
рвсп ФЛ отделение модель ролевой;;;;;;;;;;;;;;;;;7;11;17;;7;;1;;;;;;;;;;5;43
рвсп отделение кредитный ФЛ ролевой;;;;;;;;;;;;;;;;;;;;;;;;17;14;8;;;;;;;3;39
рг московский закрытие доступ физический;;;;;;;;;;;;;;;;;;;;3;4;8;;;3;;;;;;;;4;18
рг московский закрытие увольнение доступ;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;1;3
рг московский физический доступ лицо;;;;;;;;;;;;;;;;;;6;4;;;;;;;;;;;;15;;3;25
рг московский физический лицо специализированный;;;;;;;;;;;;;31;15;4;1;;;;;;;;;;;16;;;;;;5;67
рг физический доступ московский лицо;;;;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;37
релиз пока обходного дополнительно спасти;;;;;;;;;;;;;;;;;;;;;;;;;;;156;;;;;;1;156
рефинансируемого зачислиться коминтерн октябрьский девушка;;;;;;;;;;;;;;;;;;;92;;;;;;;;;;;;;;1;92
решение кредит статус отказ ошибка;;;;;;;;;;;;;;;;;416;;;;;;;;;;;;;;;;1;416
решение проблема анкета обработка помочь;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;1;5
риск экспертиза розничного анализ подчинение;;;;;;;;;;;;;10;11;1;;1;3;;;;;;;;;;;;;;;5;26
роль нужный сжк жилищный кредитование;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;1;10
роль сжк жилищный специалист кредитование;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;1;2
руб сумма it-служба заключение эскалации;5;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4
сбол кредит видеть статус подать;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;1;6
сбол кредит договор статус проблема;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;1;4
сбол кредит онлайн статус отказ;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;1;2
связи переход жилищный сжк специалист;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;1
сжк жилищный роль кредитование привязка;;;;;;;;;;;;;28;;;;;;;;;;;;;;;;;;;;1;28
сжк нужный номер жилищный специалист;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;1;11
скан паспорт загрузить ошибка выдавать;;;;;;;;;;;;;;;;;50;5;2;;;;;;;;;;;;;;3;57
скрин вложение ошибка выдавать досье;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;1;13
скрин вложение ошибка документ кредитный;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;1;3
соответствие жилищный специалист кредитование привязка;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;1;2
соответствие привязка жилищный распоряжение специалист;;;;;;;;;;;;;;;;;;;;;9;;;8;4;;2;;;;;;4;23
справка НДФЛ документ досье кредитный;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;1;2
среднерусский СБ сжк нужный роль;;;;;;;;;;;;;;;;;;;;;19;;;7;;;2;;;;;3;4;31
среднерусский должностной жилищный специалист кредитование;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;3;1;3;8
среднерусский требоваться роль СБ сжк;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;1;3
ставка процентный кредит сумма решение;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
стандарт должностных обязанность 72а ленина;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;1;11
статус ЕКП вернуть ошибка отказ;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;1;3
статус ошибка белгородский кызылский первичного;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;1;4
статус ошибка вернуть отправка транзакт;;;;;;;;;;;;;;;;;;41;;;;;;;;;;;;;;;1;41
статус ошибка видеть номер кредитный;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;1;5
статус ошибка влиять проставляться 600шт;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;6
статус ошибка досрочный офисный кредитный;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
статус ошибка логинписать кредитный кредит;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
статус ошибка находиться ответ вернуть;6;;;;;;;;;;;;;;;;;;;;6;;2;8;3;4;8;6;3;4;9;2;11;55
статус ошибка оренбургский зависать девушка;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;1;10
статус ошибка отправить отказ кредит;;;;;;;;;;;;;;;;;;;47;;;;;;;;;;;;;;1;47
статус ошибка проанализировать отправить кредит;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
статус ошибка проверка сеть кратчайшие;;;;;;4;6;;;;;;;;;;;;;;;;;;;;;;;;;;2;10
статус ошибка программа планшет девушка;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;1;3
статус ошибка программа регистрация подтверждающий;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;1;5
статус ошибка рассмотрение вернуть отказ;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;1;23
статус ошибка транзакт ЕКП кредит;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;1;22
статус ошибка что-то вписать приостоновить;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;1;5
статус ошибка эскалация выгрузка чтение;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;1;4
статус проблема кредит ошибка кредитный;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;1;2
стратегия мск мультипликатор МЦА являться;;;;;;;;;;;;;;;;;11;8;;;;;;;;;;;;;;;2;19
стратегия мультипликатор мск подтвердить являться;;;;;;;;;;;;;;;;;;;;;;;;10;6;;;;;;;;2;16
стратегия мультипликатор наличие сумма ошибка;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
стратегия мультипликатор обязательство сумма вычет;;;;;;;;;;;;;;;;3;;;;17;;;;;;;;;;;;;2;20
стратегия сумма мультипликатор рассчитать вычет;;;;;;;;;;;;;;;;;;;;;9;2;;;;;;;;;;;2;11
страховка жизнь электронный переназначаться офисный;;;;;;;;;;;;;;174;;;;;;;;;;;;;;;;;;;1;174
сумма год срок кредит одобрить;;;;;;;;;;;;;;;;;;;;;;;;10;8;;;;;;;;2;18
сумма доход вычет обязательство мультипликатор;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;1;7
сумма доход мультипликатор являться стратегия;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;1;4
сумма доход эскалации андеррайтинг технической;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;1;2
сумма заключение руб стратегии андеррайтер;;;;;;;;;;;;;;;;;6;3;;;;;;;;;;;;;;;2;9
сумма заключение стратегии руб наличие;;;;;;;;;;;;;15;;;;;;;;;;;;;;;;;;;;1;15
сумма заёмщик максимальный вычет обязательство;;;;;;;;;;;;;;;;;;5;2;;;;;;;;;;;;;;2;7
сумма заёмщик руб вычет обязательство;;;;;;;;;;;;;;;;;;;;5;;;;;2;;;;;;;;2;7
сумма кредит одобрить рефинансирование ЕКП;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;1;6
сумма кредит рассчитать одобрить ЕКП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;1;8
сумма кредит срок одобрить ошибка;11;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
сумма максимальный доход заёмщик обязательство;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;1;8
сумма мультипликатор обязательство стратегия доход;;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;1;24
сумма обязательство доход вычет заёмщик;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
сумма платёж одобрить кредит ЕКП;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
сумма рефинансирование одобрить кредит ошибка;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;3;2;9
сумма руб эскалации заключение андеррайтинг;;;;;;;;;;;;;;4;;;;;6;;;;2;;;;;;;;;;3;12
сумма ставка кредит рефинансирование одобрить;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;1;5
сумма стратегия мультипликатор являться ошибка;;;;;1;1;;;;;;;19;;;;;;;;;;;;;;;;;;;;3;21
сумма стратегия обязательство мультипликатор вычет;;;;;;;;;;;;;;22;;;;;;;;;;;;;;;;;;;1;22
тверской рг московский физический лицо;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;1;9
транзакт УКО статус сбол отказ;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
транзакт отказ кредит статус ошибка;;;;;10;;;;;;;;;266;;;;;;;;;;;;;;;;;;;2;276
транзакт ошибка работа проблема кредит;;;;;;;;;;;;;;;;;;;;;;;;;;;;157;;;;;1;157
требоваться номер нужный сжк привязка;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;1;2
требоваться пересоздание профиль должностных обязанность;;;;;;;;;;;;;;;;;;;;;;;;;;;12;6;;;;;2;18
требоваться привязка среднерусский переназначать видеть;;;;;;;;;;;;;;;;;;;;;;;;7;6;5;1;;;;;;4;19
уважение анкетных контрагент апатиты заблокироваться;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;1;2
уважение установка стратегия аудит внутренний;;;;;;;;;;;;;;;;;;;;;;;;128;;;;;;;;;1;128
увеличение максимальной прямым терять независимо;;;;;;;;;;;;;;;;;;;;;;;;;96;;;;;;;;1;96
удалённый составление собираться часы кидать;;;;;;;;;;;;;;;;;;;;;;;;;;57;;;;;;;1;57
управление аппарат увольнение отделение закрытие;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;1;8
управление закрытие аппарат доступ закрыть;;;;;;;;;;;;;33;;;;;;;;;;;;;;;;;;;;1;33
управление продажа закрытие сектор аппарат;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;1;4
установка направлять установить стратегии факт;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
установка стратегия направлять стратегии получение;;;;;;;;;;;;;;;;;;;;;;141;;;;;;;;;;;1;141
установка стратегия пром_nbsm часы экстренно;;;;;;;;;;;;;;;;;;;;;;;;;;107;1;2;;;;;3;110
установка стратегия сохраниться перезагрузить кузнецкий;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1
установка стратегия ханты-мансийского ивановское память;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;2
уходить ЕКП обработка статус ошибка;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
уходить обработка а0 возвращаться отправить;;;;;;;;;;;;;;;;;;;;9;;1;;2;;;;;;;;;3;12
уходить обработка анкета проблема решение;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;1;11
уходить обработка возвращаться помочь решение;;;;;;;;;;;;;;;;;;17;3;;;;;;;;;;;;;;2;20
файл прикрепить ошибка скрин выходить;;;;;;;;;;;;;;;;;;3;1;;2;;;;;;;;;;;;3;6
формирование кредит выдать кредитного договор;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
фотоальбом выходить ошибка досье документ;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;1;2
фотоальбом документ ошибка досье кредитный;;;;;;;;;;;;;;;;;177;47;22;;;;;;;;;;;;;;3;246
фотоальбом ошибка обработка документ кредитный;;;;;;;;;;;;;;;;;;;;53;;3;;;;;;;;;;;2;56
фп кассовый пришлый сбол программа;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
центр доступ подразделение закрытие центральный;;;;;5;;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;6
центр закрытие подчинение центральный управление;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;1;7
центр подчинение центральный региональный закрытие;;;;;;;;;;;;;;;;;5;1;;;4;1;1;4;4;;;;;1;;6;9;27
центр риск розничного подчинение закрытие;;;;;;;;;;;;19;;;;;;;;;;;;;;;;;;;;;1;19
центр розничного подчинение закрытие центральный;10;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
центр сопровождение подчинение центральный региональный;;;;;;;;;;;;;;;;1;;;3;5;;;;;;;;;;;;;3;9
